City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
cabo san lucas,20,MX,1584398987,50,22.89,-109.91,81.0,10.29
sergeyevka,100,KZ,1584399144,97,53.88,67.42,31.68,6.73
aykhal,90,RU,1584399144,83,66.0,111.5,-4.0,4.47
iralaya,2,HN,1584399144,75,15.0,-83.23,79.88,12.48
los llanos de aridane,20,ES,1584399144,59,28.66,-17.92,64.4,20.8
salalah,75,OM,1584399039,69,17.02,54.09,77.0,5.82
harboore,31,DK,1584399145,75,56.62,8.18,42.01,5.82
kasongo-lunda,100,CD,1584399145,99,-6.47,16.82,69.62,3.62
fayaoue,5,NC,1584399145,80,-20.65,166.53,79.9,15.43
kropotkin,23,RU,1584399145,53,45.44,40.58,30.0,5.88
ratnagiri,0,IN,1584398923,57,16.98,73.3,70.52,1.63
sinegorye,100,RU,1584399145,96,62.08,150.48,-1.89,5.97
olinda,75,BR,1584399145,74,-8.01,-34.86,84.2,5.82
troitsko-pechorsk,100,RU,1584399146,91,62.71,56.2,21.87,10.94
bonaventure,1,CA,1584399146,36,48.05,-65.49,28.4,8.05
ixtapa,5,MX,1584399146,65,20.7,-105.2,80.6,13.87
grand baie,75,MU,1584399146,88,-20.02,57.58,77.0,8.05
sweetwater,75,US,1584399146,65,25.76,-80.37,81.0,10.29
christchurch,87,NZ,1584398939,76,-43.53,172.63,55.99,11.41
yaguajay,0,CU,1584399147,77,22.33,-79.24,74.88,17.56
quatre cocos,75,MU,1584399147,88,-20.21,57.76,77.0,8.05
tabou,89,CI,1584399147,92,4.42,-7.35,77.09,4.05
inhumas,20,BR,1584399147,54,-16.36,-49.5,82.4,0.63
copiapo,90,CL,1584398963,77,-27.37,-70.33,64.4,10.29
chimore,100,BO,1584399148,94,-16.98,-65.13,75.79,1.45
saldanha,0,ZA,1584399148,46,-33.01,17.94,73.4,8.05
adeje,75,ES,1584399148,63,28.12,-16.73,64.99,19.46
burnie,89,AU,1584399148,74,-41.07,145.92,64.0,3.0
fortuna,20,US,1584399030,89,40.6,-124.16,54.0,9.17
kristianstad,53,SE,1584399149,81,56.03,14.15,45.0,4.7
teguldet,100,RU,1584399149,88,57.31,88.17,16.21,10.18
saint-michel-des-saints,100,CA,1584399149,4,46.68,-73.92,24.01,1.01
khvoynaya,100,RU,1584399149,98,58.9,34.53,32.47,4.92
edeia,13,BR,1584399149,85,-17.34,-49.93,73.24,3.65
kuragino,82,RU,1584399149,79,53.9,92.67,21.58,1.86
middelburg,77,ZA,1584399149,82,-25.78,29.46,55.13,15.3
sambava,93,MG,1584399150,96,-14.27,50.17,71.71,2.08
longyan,52,CN,1584399150,65,25.11,117.02,55.99,1.41
purwodadi,40,ID,1584399150,100,-7.09,110.92,78.8,3.56
kursk,100,RU,1584399150,68,51.73,36.19,30.0,5.99
porto san giorgio,0,IT,1584399150,87,43.18,13.79,48.0,2.24
walvis bay,4,NA,1584399150,82,-22.96,14.51,62.6,5.82
okhotsk,6,RU,1584399150,64,59.38,143.3,4.3,14.27
loreto,95,MX,1584399151,35,22.27,-101.97,71.08,13.29
victor harbor,83,AU,1584399151,23,-35.57,138.62,80.01,13.87
santiago del estero,92,AR,1584399129,96,-27.8,-64.26,64.69,2.53
awka,98,NG,1584398981,55,6.21,7.07,89.6,3.36
ginda,0,IN,1584399151,45,30.69,78.49,44.67,5.41
lima,77,PE,1584399003,69,-12.04,-77.03,78.8,16.11
anda,98,CN,1584399152,77,46.4,125.32,24.64,3.42
novo selo,0,MK,1584399152,84,41.41,22.88,37.99,0.31
neuquen,100,AR,1584399044,30,-38.95,-68.06,80.6,1.12
klaksvik,55,FO,1584399152,67,62.23,-6.59,41.0,11.41
kon tum,37,VN,1584399152,83,14.35,108.0,66.06,2.42
shkurinskaya,0,RU,1584399152,57,46.59,39.36,31.33,4.43
san juan,0,AR,1584399115,51,-31.54,-68.54,76.42,8.46
upington,52,ZA,1584399153,41,-28.45,21.26,78.8,3.36
yamnytsya,79,UA,1584399153,51,48.99,24.71,35.89,2.89
dingle,0,PH,1584399153,74,11.0,122.67,77.2,9.98
seda,100,LV,1584399153,95,57.65,25.75,36.0,3.0
northam,100,GB,1584399029,86,51.03,-4.22,45.0,10.18
betare oya,61,CM,1584399153,31,5.6,14.08,70.63,3.83
collie,37,AU,1584399154,69,-33.37,116.15,64.0,7.72
guaruja,75,BR,1584399154,64,-23.99,-46.26,82.0,3.36
kununurra,0,AU,1584399154,94,-15.77,128.73,73.4,4.47
eirunepe,100,BR,1584399154,98,-6.66,-69.87,73.24,1.48
loandjili,20,CG,1584399154,94,-4.76,11.86,80.6,3.36
concarneau,11,FR,1584399155,80,47.88,-3.92,42.8,3.36
igra,0,RU,1584399155,90,57.56,53.05,19.67,7.74
grindavik,90,IS,1584399155,100,63.84,-22.43,35.6,4.7
west bay,40,KY,1584399155,74,19.37,-81.42,81.0,13.87
te anau,0,NZ,1584399126,62,-45.42,167.72,46.2,3.91
sohag,0,EG,1584399155,40,26.56,31.69,68.0,9.17
nkoteng,73,CM,1584399156,86,4.52,12.03,74.34,3.42
sinnamary,70,GF,1584398958,78,5.38,-52.95,80.17,15.7
molchanovo,97,RU,1584399156,92,57.58,83.77,15.46,6.67
karatau,100,KZ,1584399156,45,43.17,70.47,55.69,9.06
beringovskiy,100,RU,1584399156,96,63.05,179.32,31.42,21.92
pitimbu,40,BR,1584399156,88,-7.47,-34.81,80.6,3.36
yuzha,100,RU,1584399157,68,56.58,42.01,31.62,9.44
hambantota,60,LK,1584399157,82,6.12,81.12,80.69,20.54
kirovo-chepetsk,76,RU,1584399157,81,58.55,50.04,26.01,8.81
goderich,100,CA,1584399157,86,43.75,-81.72,39.99,1.01
slonim,100,BY,1584399157,87,53.09,25.32,38.28,6.49
husavik,55,IS,1584399158,86,66.04,-17.34,33.8,2.24
smithers,75,CA,1584399158,31,54.78,-127.17,35.6,4.7
srednekolymsk,99,RU,1584399158,91,67.45,153.68,1.42,5.17
choix,77,MX,1584399158,16,26.71,-108.32,88.27,9.15
mizan teferi,100,ET,1584399158,71,6.98,35.58,68.45,3.49
racalmuto,8,IT,1584399158,81,37.41,13.73,50.0,9.19
nelson bay,40,AU,1584399158,88,-32.72,152.15,66.99,8.05
batagay-alyta,100,RU,1584399159,97,67.8,130.41,3.0,2.95
gobabis,27,NA,1584399159,77,-22.45,18.97,69.8,2.24
tandil,0,AR,1584398994,55,-37.32,-59.13,68.0,5.01
rolla,90,US,1584399159,87,37.95,-91.77,45.0,4.7
mao,75,ES,1584398899,87,39.89,4.27,59.0,12.75
suntar,53,RU,1584399159,95,62.14,117.63,18.66,1.74
vestmannaeyjar,100,IS,1584399159,81,63.44,-20.27,40.41,19.13
mont-de-marsan,90,FR,1584399160,93,44.0,-0.67,51.8,2.24
monroe,1,US,1584399027,33,43.15,-77.68,51.8,4.7
dondo,75,MZ,1584399160,74,-19.61,34.74,80.6,16.11
san julian,40,MX,1584399160,32,21.02,-102.17,77.23,5.64
carutapera,100,BR,1584399160,77,-1.2,-46.02,79.21,7.54
semporna,20,MY,1584399160,94,4.48,118.61,73.4,4.7
buin,0,CL,1584399160,36,-33.73,-70.75,77.0,8.05
luanda,40,AO,1584399161,78,-8.84,13.23,80.6,4.7
mayo,90,US,1584399161,72,38.89,-76.51,52.0,9.17
richha,0,IN,1584399161,75,28.7,79.52,58.64,6.26
arman,100,RU,1584399161,75,59.7,150.17,13.73,5.66
itarema,100,BR,1584399161,89,-2.92,-39.92,75.43,0.63
mount gambier,58,AU,1584399161,51,-37.83,140.77,62.6,11.41
les cayes,0,HT,1584399161,67,18.2,-73.75,79.43,6.51
bongandanga,42,CD,1584399162,95,1.5,21.05,71.35,2.46
maniwaki,100,CA,1584399162,83,46.38,-75.97,23.83,5.79
muddebihal,15,IN,1584399162,66,16.33,76.13,71.83,9.26
along,2,IN,1584399162,83,28.17,94.77,50.7,5.32
hokitika,0,NZ,1584398913,50,-42.72,170.97,61.68,13.04
villamontes,86,BO,1584399162,87,-21.25,-63.5,72.63,3.74
mubende,41,UG,1584399163,96,0.56,31.39,64.56,1.19
barao de melgaco,40,BR,1584399163,58,-16.19,-55.97,87.8,3.36
barra do garcas,17,BR,1584399069,94,-15.89,-52.26,73.17,2.95
waingapu,0,ID,1584399163,68,-9.66,120.26,84.47,6.51
kikwit,100,CD,1584399163,97,-5.04,18.82,68.86,7.63
lubango,94,AO,1584399163,94,-14.92,13.49,60.48,3.27
korla,0,CN,1584399164,90,41.76,86.15,39.0,8.23
farafangana,13,MG,1584399164,74,-22.82,47.83,78.55,3.62
california city,75,US,1584399164,44,35.13,-117.99,60.8,5.82
cayenne,58,GF,1584399164,74,4.93,-52.33,82.4,9.17
madison,90,US,1584399038,100,34.73,-86.57,60.01,2.64
evensk,100,RU,1584399164,97,61.95,159.23,28.96,8.01
solton,100,RU,1584399164,94,52.84,86.48,28.09,4.99
zarkos,0,GR,1584399165,56,39.62,22.13,39.0,1.68
visnes,100,NO,1584399165,87,59.36,5.22,43.0,23.04
bereznik,90,RU,1584399165,87,62.86,42.71,25.43,10.13
vaitape,17,PF,1584399079,72,-16.52,-151.75,83.28,7.9
montbrison,72,FR,1584399165,61,45.67,4.08,53.6,3.62
kaniama,100,CD,1584399166,94,-7.57,24.18,68.07,1.99
cap-aux-meules,20,CA,1584399166,62,47.38,-61.86,19.4,4.7
vostok,57,RU,1584399166,85,46.49,135.88,20.52,3.94
ajuchitlan,75,MX,1584399166,34,20.72,-100.02,78.8,11.41
laguna,90,US,1584399166,75,38.42,-121.42,52.0,5.64
osvaldo cruz,16,BR,1584399166,88,-21.8,-50.88,74.35,3.04
veraval,82,IN,1584399167,24,20.9,70.37,71.26,9.75
hervey bay,38,AU,1584399167,56,-25.3,152.85,77.0,13.87
oriximina,38,BR,1584399167,82,-1.77,-55.87,78.69,4.36
changping,0,CN,1584399167,86,40.22,116.22,55.0,6.71
akdepe,59,TM,1584399167,61,42.06,59.38,48.2,4.7
jagdalpur,21,IN,1584399167,58,19.07,82.03,72.03,1.23
presidente medici,96,BR,1584399167,90,-11.18,-61.9,76.91,2.39
waipawa,100,NZ,1584399168,76,-41.41,175.52,57.0,29.97
jizan,20,SA,1584399168,74,17.33,42.67,80.6,4.7
kaka,1,TM,1584399168,61,37.35,59.61,59.83,3.67
spanish town,20,JM,1584399168,48,17.99,-76.96,86.0,19.46
